# r     xi0       errorxi0             
  46.0  0.0233625 0.001150770327315577 
  54.0  0.01422   0.0010187740036337795
  62.0  0.009344  9.063566510905076E-4 
  70.0  0.0061085 7.859515627518021E-4 
  78.0  0.004432  7.195562135684744E-4 
  86.0  0.0025935 6.649630708633375E-4 
  94.0  0.003666  6.168184011376444E-4 
  102.0 0.0048625 5.495893782534375E-4 
  110.0 0.0040945 5.346053441577254E-4 
  118.0 0.00251   5.23552899895512E-4  
  126.0 0.0011705 5.010495482025705E-4 
  134.0 7.26E-4   4.699980382884592E-4 
  142.0 3.14E-4   4.487620414896964E-4 
  150.0 1.125E-4  4.26947553139727E-4  
  158.0 -1.24E-4  3.919459925882646E-4 
  166.0 8.65E-5   3.6782712293005257E-4
  174.0 2.105E-4  3.406229782956517E-4 
  182.0 7.15E-5   3.4624953291665246E-4
  190.0 1.12E-4   3.403252861160922E-4 
  198.0 9.55E-5   3.268261680741002E-4 
