# r     xi0       errorxi0             
  46.0  0.0338815 0.0014742395141834994
  54.0  0.0193055 0.001298635212802271 
  62.0  0.0133995 0.0011242950687919964
  70.0  0.0081935 0.0010469754901524678
  78.0  0.005403  8.985489551949855E-4 
  86.0  0.003937  8.097075762372487E-4 
  94.0  0.0044545 7.661107834745572E-4 
  102.0 0.0050175 7.066349133123837E-4 
  110.0 0.004434  6.58856245350987E-4  
  118.0 0.002278  6.30010106293542E-4  
  126.0 9.535E-4  6.013843568584071E-4 
  134.0 4.325E-4  5.651098448425757E-4 
  142.0 4.02E-4   5.475377707838976E-4 
  150.0 6.15E-5   5.073941452362256E-4 
  158.0 -2.55E-5  4.814374349684495E-4 
  166.0 -4.9E-5   4.639157629139152E-4 
  174.0 -7.05E-5  4.3211723103921693E-4
  182.0 -1.62E-4  4.208431379647291E-4 
  190.0 -1.335E-4 4.1706333996168973E-4
  198.0 7.15E-5   3.898647880906918E-4 
