# bin_center hist hist_err weighted_counts weighted_counts_err counts counts_err  lower_edge upper_edge histogram_normalization var var_err
0.569866 13.8624 3.70989 13.8624 3.70989 14 3.74166 0.0790013 1.06073 1 0.605162 0.266575
1.55159 50.0242 7.08638 50.0242 7.08638 50 7.07107 1.06073 2.04246 1 1.59394 0.298214
2.53332 83.8824 9.22137 83.8824 9.22137 83 9.11043 2.04246 3.02419 1 2.60535 0.266695
3.51505 158.585 12.6006 158.585 12.6006 159 12.6095 3.02419 4.00592 1 3.5722 0.277799
4.49678 183.442 13.5468 183.442 13.5468 184 13.5647 4.00592 4.98765 1 4.52348 0.277437
5.47851 214.564 14.6939 214.564 14.6939 214 14.6287 4.98765 5.96937 1 5.44198 0.277516
6.46024 157.808 12.6146 157.808 12.6146 157 12.53 5.96937 6.9511 1 6.42305 0.28298
7.44197 80.1179 8.97397 80.1179 8.97397 80 8.94427 6.9511 7.93283 1 7.39071 0.285431
8.4237 43.4743 6.56794 43.4743 6.56794 44 6.63325 7.93283 8.91456 1 8.33963 0.24064
9.40543 14.7238 3.80837 14.7238 3.80837 15 3.87298 8.91456 9.89629 1 9.36721 0.28307
