#redshift   redshift   covariance   correlation 
0.1060000000  0.1060000000  0.0002250000  1.0000000000 
0.1060000000  0.3500000000  0.0000000000  0.0000000000 
0.1060000000  0.3500000000  0.0000000000  0.0000000000 
0.1060000000  0.4400000000  0.0000000000  0.0000000000 
0.1060000000  0.6000000000  0.0000000000  0.0000000000 
0.1060000000  0.7300000000  0.0000000000  0.0000000000 
0.1060000000  0.5700000000  0.0000000000  0.0000000000 
0.1060000000  0.5700000000  0.0000000000  0.0000000000 
0.1060000000  2.4000000000  0.0000000000  0.0000000000 

0.3500000000  0.1060000000  0.0000000000  0.0000000000 
0.3500000000  0.3500000000  0.0605160000  1.0000000000 
0.3500000000  0.3500000000  150.0354000000  0.5700000000 
0.3500000000  0.4400000000  0.0000000000  0.0000000000 
0.3500000000  0.6000000000  0.0000000000  0.0000000000 
0.3500000000  0.7300000000  0.0000000000  0.0000000000 
0.3500000000  0.5700000000  0.0000000000  0.0000000000 
0.3500000000  0.5700000000  0.0000000000  0.0000000000 
0.3500000000  2.4000000000  0.0000000000  0.0000000000 

0.3500000000  0.1060000000  0.0000000000  0.0000000000 
0.3500000000  0.3500000000  150.0354000000  0.5700000000 
0.3500000000  0.3500000000  1144900.0000000000  1.0000000000 
0.3500000000  0.4400000000  0.0000000000  0.0000000000 
0.3500000000  0.6000000000  0.0000000000  0.0000000000 
0.3500000000  0.7300000000  0.0000000000  0.0000000000 
0.3500000000  0.5700000000  0.0000000000  0.0000000000 
0.3500000000  0.5700000000  0.0000000000  0.0000000000 
0.3500000000  2.4000000000  0.0000000000  0.0000000000 

0.4400000000  0.1060000000  0.0000000000  0.0000000000 
0.4400000000  0.3500000000  0.0000000000  0.0000000000 
0.4400000000  0.3500000000  0.0000000000  0.0000000000 
0.4400000000  0.4400000000  0.0000504100  1.0000000000 
0.4400000000  0.6000000000  0.0000094146  0.3900000174 
0.4400000000  0.7300000000  -0.0000000000  -0.0000002124 
0.4400000000  0.5700000000  0.0000000000  0.0000000000 
0.4400000000  0.5700000000  0.0000000000  0.0000000000 
0.4400000000  2.4000000000  0.0000000000  0.0000000000 

0.6000000000  0.1060000000  0.0000000000  0.0000000000 
0.6000000000  0.3500000000  0.0000000000  0.0000000000 
0.6000000000  0.3500000000  0.0000000000  0.0000000000 
0.6000000000  0.4400000000  0.0000094146  0.3900000174 
0.6000000000  0.6000000000  0.0000115600  1.0000000000 
0.6000000000  0.7300000000  0.0000049286  0.4529998540 
0.6000000000  0.5700000000  0.0000000000  0.0000000000 
0.6000000000  0.5700000000  0.0000000000  0.0000000000 
0.6000000000  2.4000000000  0.0000000000  0.0000000000 

0.7300000000  0.1060000000  0.0000000000  0.0000000000 
0.7300000000  0.3500000000  0.0000000000  0.0000000000 
0.7300000000  0.3500000000  0.0000000000  0.0000000000 
0.7300000000  0.4400000000  -0.0000000000  -0.0000002124 
0.7300000000  0.6000000000  0.0000049286  0.4529998540 
0.7300000000  0.7300000000  0.0000102400  1.0000000000 
0.7300000000  0.5700000000  0.0000000000  0.0000000000 
0.7300000000  0.5700000000  0.0000000000  0.0000000000 
0.7300000000  2.4000000000  0.0000000000  0.0000000000 

0.5700000000  0.1060000000  0.0000000000  0.0000000000 
0.5700000000  0.3500000000  0.0000000000  0.0000000000 
0.5700000000  0.3500000000  0.0000000000  0.0000000000 
0.5700000000  0.4400000000  0.0000000000  0.0000000000 
0.5700000000  0.6000000000  0.0000000000  0.0000000000 
0.5700000000  0.7300000000  0.0000000000  0.0000000000 
0.5700000000  0.5700000000  0.0864360000  1.0000000000 
0.5700000000  0.5700000000  193.0698000000  0.5500000000 
0.5700000000  2.4000000000  0.0000000000  0.0000000000 

0.5700000000  0.1060000000  0.0000000000  0.0000000000 
0.5700000000  0.3500000000  0.0000000000  0.0000000000 
0.5700000000  0.3500000000  0.0000000000  0.0000000000 
0.5700000000  0.4400000000  0.0000000000  0.0000000000 
0.5700000000  0.6000000000  0.0000000000  0.0000000000 
0.5700000000  0.7300000000  0.0000000000  0.0000000000 
0.5700000000  0.5700000000  193.0698000000  0.5500000000 
0.5700000000  0.5700000000  1425636.0000000000  1.0000000000 
0.5700000000  2.4000000000  0.0000000000  0.0000000000 

2.4000000000  0.1060000000  0.0000000000  0.0000000000 
2.4000000000  0.3500000000  0.0000000000  0.0000000000 
2.4000000000  0.3500000000  0.0000000000  0.0000000000 
2.4000000000  0.4400000000  0.0000000000  0.0000000000 
2.4000000000  0.6000000000  0.0000000000  0.0000000000 
2.4000000000  0.7300000000  0.0000000000  0.0000000000 
2.4000000000  0.5700000000  0.0000000000  0.0000000000 
2.4000000000  0.5700000000  0.0000000000  0.0000000000 
2.4000000000  2.4000000000  3818116.0000000000  1.0000000000 

