#redshift   redshift   covariance   correlation 
0.106 0.106 0.018769	1			
0.106 0.15  0   	0
0.106 0.32  0		0
0.106 0.57  0		0
0.106 0.57  0		0

0.15 0.106  0		0
0.15 0.15   0.028224    1
0.15 0.32   0		0
0.15 0.57   0		0
0.15 0.57   0		0

0.32 0.106  0		0
0.32 0.15   0   	0
0.32 0.32   0.027889	1
0.32 0.57   0		0
0.32 0.57   0		0

0.57 0.106  0		0
0.57 0.15   0   	0
0.57 0.32   0		0
0.57 0.57   0.041	1
0.57 0.57  -0.0797160  -0.52

0.57 0.106  0		0
0.57 0.15   0   	0
0.57 0.32   0		0
0.57 0.57  -0.079716   -0.52
0.57 0.57   0.5329	1
