#redshift   redshift   covariance   correlation 
0.38  0.38  0.0129513  1 
0.38  0.38  -0.00015134  -0.0835339 
0.38  0.51  0.00682737  0.465511 
0.38  0.51  -0.000100197  -0.0421687 
0.38  0.61  0.00297169  0.17401 
0.38  0.61  -4.1908e-05  -0.0136688 
0.38  2.33  0  0 
0.38  2.33  0  0 
0.38  2.4  0  0 
0.38  2.4  0  0 

0.38  0.38  -0.00015134  -0.0835339 
0.38  0.38  0.000253436  1 
0.38  0.51  -2.54854e-05  -0.012422 
0.38  0.51  0.00013721  0.412804 
0.38  0.61  2.79621e-05  0.0117047 
0.38  0.61  6.97526e-05  0.162635 
0.38  2.33  0  0 
0.38  2.33  0  0 
0.38  2.4  0  0 
0.38  2.4  0  0 

0.51  0.38  0.00682737  0.465511 
0.51  0.38  -2.54854e-05  -0.012422 
0.51  0.51  0.0166086  1 
0.51  0.51  -7.22798e-05  -0.0268623 
0.51  0.61  0.00961727  0.497292 
0.51  0.61  -7.61911e-05  -0.0219445 
0.51  2.33  0  0 
0.51  2.33  0  0 
0.51  2.4  0  0 
0.51  2.4  0  0 

0.51  0.38  -0.000100197  -0.0421687 
0.51  0.38  0.00013721  0.412804 
0.51  0.51  -7.22798e-05  -0.0268623 
0.51  0.51  0.000435929  1 
0.51  0.61  -2.6503e-05  -0.00845889 
0.51  0.61  0.000264232  0.46975 
0.51  2.33  0  0 
0.51  2.33  0  0 
0.51  2.4  0  0 
0.51  2.4  0  0 

0.61  0.38  0.00297169  0.17401 
0.61  0.38  2.79621e-05  0.0117047 
0.61  0.51  0.00961727  0.497292 
0.61  0.51  -2.6503e-05  -0.00845889 
0.61  0.61  0.0225189  1 
0.61  0.61  0.000202037  0.0499742 
0.61  2.33  0  0 
0.61  2.33  0  0 
0.61  2.4  0  0 
0.61  2.4  0  0 

0.61  0.38  -4.1908e-05  -0.0136688 
0.61  0.38  6.97526e-05  0.162635 
0.61  0.51  -7.61911e-05  -0.0219445 
0.61  0.51  0.000264232  0.46975 
0.61  0.61  0.000202037  0.0499742 
0.61  0.61  0.000725809  1 
0.61  2.33  0  0 
0.61  2.33  0  0 
0.61  2.4  0  0 
0.61  2.4  0  0 

2.33  0.38  0  0 
2.33  0.38  0  0 
2.33  0.51  0  0 
2.33  0.51  0  0 
2.33  0.61  0  0 
2.33  0.61  0  0 
2.33  2.33  1.18205  1 
2.33  2.33  0  0 
2.33  2.4  0.25571  0.741497 
2.33  2.4  0  0 

2.33  0.38  0  0 
2.33  0.38  0  0 
2.33  0.51  0  0 
2.33  0.51  0  0 
2.33  0.61  0  0 
2.33  0.61  0  0 
2.33  2.33  0  0 
2.33  2.33  0.79666  1 
2.33  2.4  0  0 
2.33  2.4  0.14525  0.565849 

2.4  0.38  0  0 
2.4  0.38  0  0 
2.4  0.51  0  0 
2.4  0.51  0  0 
2.4  0.61  0  0 
2.4  0.61  0  0 
2.4  2.33  0.25571  0.741497 
2.4  2.33  0  0 
2.4  2.4  0.10061  1 
2.4  2.4  0  0 

2.4  0.38  0  0 
2.4  0.38  0  0 
2.4  0.51  0  0 
2.4  0.51  0  0 
2.4  0.61  0  0 
2.4  0.61  0  0 
2.4  2.33  0  0 
2.4  2.33  0.14525  0.565849 
2.4  2.4  0  0 
2.4  2.4  0.08271  1 

