#	z	Hz	errHz		ref
#
	0.07   	69.   	19.6		Zhang et al. (2014)
	0.09   	69.   	12.		Simon et al. (2005)
	0.12   	68.6   	26.2		Zhang et al. (2014
	0.17   	83.   	8.		Simon et al. (2005)
	0.179	75.  	4.		Moresco et al. (2012
	0.199	75.   	5.		Moresco et al. (2012
	0.2	72.9   	29.6		Zhang et al. (2014
	0.27	77.   	14.		Simon et al. (2005)
	0.28   	88.8   	36.6		Zhang et al. (2014
	0.352	83.   	14.		Moresco et al. (2012
	0.3802	83.	13.5		Moresco et al. (2016)
	0.4   	95.   	17.		Simon et al. (2005)
	0.4004	77.	10.2		Moresco et al. (2016)
	0.4247	87.1	11.2		Moresco et al. (2016)
	0.4497	92.8	12.9		Moresco et al. (2016)
	0.47   	89.   	49.65		Ratsimbazafy et al. (2017)
	0.4783	80.9	9.		Moresco et al. (2016)
	0.48   	97.   	62.		Stern et al. (2010)
	0.593	104.   	12.		Moresco et al. (2012
	0.68	92.   	8.		Moresco et al. (2012
	0.781	105.   	12.		Moresco et al. (2012
	0.875	125.   	17.		Moresco et al. (2012
	0.88   	90.   	40.		Stern et al. (2010)
	0.9   	117.   	23.		Simon et al. (2005)
	1.037	154.   	20.		Moresco et al. (2012)
	1.3   	168.   	17.		Simon et al. (2005)
	1.363   160.   	33.6		Moresco et al. (2015)
	1.43   	177.   	18.		Simon et al. (2005)
	1.53   	140.   	14.		Simon et al. (2005)
	1.75   	202.   	40.		Simon et al. (2005)
	1.965   186.5   50.4		Moresco et al. (2015)
